Name	Set	ImageFile	Type	Gold	Number	Rarity	Text	Lore
Wyvern	02Kingdom	K001	Dragon	0	1	Common-3	STRENGTH: 4 FLYING	
Amphiptere	02Kingdom	K002	Dragon	0	2	Common-1	STRENGTH: 0 FLYING SCOUT	
Lindwurm	02Kingdom	K003	Dragon	1	3	Uncommon-2	STRENGTH: 0 Loses one battle without dying.	The Lindwurm has seven skins making it hard to kill.
Guivre	02Kingdom	K004	Dragon	0	4	Common-1	STRENGTH: 2	
Jormungandr	02Kingdom	K005	Dragon	0	5	Rare-1	STRENGTH: 7	The Jormungandr is a serpent that wraps himself around the world.
Tarasque	02Kingdom	K006	Dragon	0	6	Uncommon-2	STRENGTH: 3	Tarasque can only be killed by Holy Water.
Vittra	02Kingdom	K007	Dragon	1	7	Uncommon-2	STRENGTH: 3 Flying dragons lose 2 strength for the rest of a battle that Vittra is part of.	Vittra is a dragon of India that creates storms instead of fire.
Fafnir	02Kingdom	K008	Dragon	0	8	Uncommon-2	STRENGTH: 2 Dwarven Armies cannot be used by either side in a battle that Fafnir is part of.	This Germanic Dragon was once a Dwarf.  Upon dying his blood grants both knowledge and invulnerability.
Pakawjak	02Kingdom	K009	Dragon	0	9	Uncommon-2	STRENGTH: 2 Fire Breathing cannot be used by either side in a battle that Pakawjak is part of.	Pakawjak is an Arctic Dragon that breathes frost rather than fire.
Moghur	02Kingdom	K010	Dragon	2	10	Uncommon-2	STRENGTH: 0 SCOUT If first card attacked is terrain, Moghur may then attack a second card one card away from the first card.	Moghur is a Dragon that can kill with a look.
Tiamat	02Kingdom	K011	Dragon	0	11	Uncommon-2	STRENGTH: 3 FLYING	Tiamat is one of the few female dragons.
Colchis	02Kingdom	K012	Dragon	0	12	Common-1	STRENGTH: 1	Colchis is the Dragon that guards the Golden Fleece.
Gryphon	02Kingdom	K013	Dragon	0	13	Uncommon-2	STRENGTH: 1 FLYING	
Leviathan	02Kingdom	K014	Dragon	0	14	Uncommon-2	STRENGTH: 5	Leviathan is one of the biggest dragons in the world.  He is a fire breathing sea serpent.
Basilisk	02Kingdom	K015	Dragon	0	15	Rare-1	STRENGTH: 3 Kills himself and one other dragon in battle.  No battle action cards are played in a battle that Basilisk is part of, and there is no winner or loser.	
Typhon	02Kingdom	K016	Dragon	0	16	Common-1	STRENGTH: 0 SCOUT	
Echidna	02Kingdom	K017	Dragon	1	17	Uncommon-2	STRENGTH: 3 If Echidna wins a battle you may turn any face up dragon face down.	Echidna dwells in the 'secret parts' of the earth underground.
Chimera	02Kingdom	K018	Dragon	1	18	Uncommon-3	STRENGTH: 0 SCOUT Chimera attacks at 1 strength from face down.	
Azhi Dahaka	02Kingdom	K019	Dragon	0	19	Uncommon-2	STRENGTH: 2 FLYING	Azhi Dahaka breathes fire, poison and hypnotic gas.
Mushussu	02Kingdom	K020	Dragon	0	20	Uncommon-2	STRENGTH: 1 2 strength when attacking from face down.  0 strength when attacking from face up.	
Lung Wong	02Kingdom	K021	Dragon	0	21	Uncommon-2	STRENGTH: 2 Lung Wong defends at 3 strength from face up and attacks at 1 strength from face up.	
Kakutan	02Kingdom	K022	Dragon	0	22	Uncommon-2	STRENGTH: 3 Kakutan defends at 4 strength from face down and attacks at 2 strength from face down.	Instead of flying, Kakutan runs like the wind.
Scylla	02Kingdom	K023	Dragon	0	23	Uncommon-2	STRENGTH: 4 Scylla defends at 5 strength from face down and attacks at 3 strength from face up.	
Vouivre	02Kingdom	K024	Dragon	1	24	Rare-1	STRENGTH: 2 Vouivre may get help from a dragon one card away in this battle.  Flyers may help Vouivre from anywhere in your battlefield.	Vouivre has a red carbuncle for an eye which when removed leaves him blind.
Thuhan	02Kingdom	K025	Dragon	1	25	Rare-1	STRENGTH: 1 Gains +1 strength with each won battle.	
Amphisbena	02Kingdom	K026	Dragon	0	26	Rare-1	STRENGTH: 6	Amphisbena loves the cold weather climates.
Phrygian	02Kingdom	K027	Dragon	1	27	Rare-1	STRENGTH: 3 Phrygian may get help from a dragon one card away in this battle.  Flyers may help Phrygian from anywhere in your battlefield.	
Cynoprosopi	02Kingdom	K028	Dragon	1	28	Rare-1	STRENGTH: 4 Cynoprosopi may get help from a dragon one card away in this battle.  Flyers may help Cynoprosopi from anywhere in your battlefield.	Cynoprosopi lives in the Sahara Desert.
